instnm,Total price for in-district students living on campus  2022-23 (DRVIC2022),Total price for in-state students living on campus 2022-23 (DRVIC2022),Total price for out-of-state students living on campus 2022-23 (DRVIC2022),Total price for in-district students living off campus (not with family)  2022-23 (DRVIC2022),Total price for in-state students living off campus (not with family)  2022-23 (DRVIC2022),Total price for out-of-state students living off campus (not with family)  2022-23 (DRVIC2022),Total price for in-district students living off campus (with family)  2022-23 (DRVIC2022),Total price for in-state students living off campus (with family)  2022-23 (DRVIC2022),Total price for out-of-state students living off campus (with family)  2022-23 (DRVIC2022),
Abilene Christian University,56522,56522,56522,56522,56522,56522,45022,45022,45022,
Abraham Baldwin Agricultural College,15595,15595,22501,13565,13565,20471,7365,7365,14271,
Academy of Art University,50860,50860,50860,49588,49588,49588,31228,31228,31228,
Adams State University,23982,23982,36054,27173,27173,39245,14609,14609,26681,
Adelphi University,66256,66256,66256,66314,66314,66314,53014,53014,53014,
Adrian College,55498,55498,55498,55388,55388,55388,42518,42518,42518,
AdventHealth University,42483,42483,42483,49710,49710,49710,31455,31455,31455,
Agnes Scott College,62448,62448,62448,51694,51694,51694,49194,49194,49194,
Alabama A & M University,24234,24234,32844,24234,24234,32844,15064,15064,23674,
Alabama State University,22110,22110,30438,25118,25118,33446,17798,17798,26126,
Alaska Bible College,22101,22101,22101,28873,28873,28873,16553,16553,16553,
Alaska Christian College,22794,22794,22794,23691,23691,23691,11194,11194,11194,
Alaska Pacific University,34670,34670,34670,43870,43870,43870,26370,26370,26370,
Albany College of Pharmacy and Health Sciences,53185,53185,53185,55325,55325,55325,43425,43425,43425,
Albany State University,20806,20806,31528,20806,20806,31528,10574,10574,21296,
Albertus Magnus College,60682,60682,60682,60696,60696,60696,46224,46224,46224,
Albion College,68900,68900,68900,68900,68900,68900,56930,56930,56930,
Albright College,46770,46770,46770,47170,47170,47170,32230,32230,32230,
Alcorn State University,23744,23744,23744,26894,26894,26894,16639,16639,16639,
Alderson Broaddus University,46237,46237,46237,48958,48958,48958,36611,36611,36611,
Alfred University,54604,54604,54604,54604,54604,54604,44294,44294,44294,
Alice Lloyd College,30610,30610,30610,27950,27950,27950,22950,22950,22950,
Allegany College of Maryland,21206,25196,27536,21206,25196,27536,10406,14396,16736,
Allegheny College,70906,70906,70906,68406,68406,68406,57110,57110,57110,
Allegheny Wesleyan College,14612,14612,14612,15270,15270,15270,11220,11220,11220,
Allen County Community College,14910,14910,14910,14910,14910,14910,7864,7864,7864,
Allen University,25006,25006,25006,22422,22422,22422,17922,17922,17922,
Alliance University,49115,49115,49115,50265,50265,50265,34715,34715,34715,
Alma College,61550,61550,61550,57026,57026,57026,48926,48926,48926,
Alpena Community College,15130,17710,17710,14930,17510,17510,7380,9960,9960,
Alvernia University,58780,58780,58780,50950,50950,50950,44750,44750,44750,
Alverno College,47696,47696,47696,48294,48294,48294,39990,39990,39990,
American Academy of Dramatic Arts-Los Angeles,54630,54630,54630,60135,60135,60135,45195,45195,45195,
American Academy of Dramatic Arts-New York,62604,62604,62604,61352,61352,61352,44924,44924,44924,
American Baptist College,27044,27044,27044,28028,28028,28028,18404,18404,18404,
American International College,58750,58750,58750,52010,52010,52010,45950,45950,45950,
American Islamic College,13450,13450,13450,15250,15250,15250,8750,8750,8750,
American Musical and Dramatic Academy,63820,63820,63820,63820,63820,63820,48960,48960,48960,
American University,71703,71703,71703,71703,71703,71703,56425,56425,56425,
Amherst College,83650,83650,83650,83650,83650,83650,66900,66900,66900,
Anderson University,50000,50000,50000,46880,46880,46880,38580,38580,38580,
Anderson University,48242,48242,48242,49562,49562,49562,38732,38732,38732,
Andrew College,35996,35996,35996,,,,,,,
Andrews University,44408,44408,44408,51892,51892,51892,34934,34934,34934,
Angelina College,17941,19561,20971,20316,21936,23346,11941,13561,14971,
Angelo State University,23466,23466,33258,23466,23466,33258,12946,12946,22738,
Anna Maria College,62900,62900,62900,52460,52460,52460,47460,47460,47460,
Antioch College,50383,50383,50383,52343,52343,52343,42743,42743,42743,
Appalachian Bible College,29542,29542,29542,27722,27722,27722,21196,21196,21196,
Appalachian State University,22702,22702,38706,23910,23910,39914,11370,11370,27374,
Aquinas College,50886,50886,50886,47834,47834,47834,41052,41052,41052,
Arcadia University,63450,63450,63450,71130,71130,71130,52480,52480,52480,
Arizona Christian University,50950,50950,50950,53350,53350,53350,40350,40350,40350,
Arizona State University Campus Immersion,31127,31127,50101,27959,27959,46933,17399,17399,36373,
Arizona Western College,18909,18909,25719,19011,19011,25821,13431,13431,20241,
Arkansas Baptist College,23060,23060,23060,22014,22014,22014,14234,14234,14234,
Arkansas State University,24553,24553,30409,25766,25766,31622,15224,15224,21080,
Arkansas State University-Beebe,16982,16982,18686,21544,21544,23248,12354,12354,14058,
Arkansas Tech University,22201,22201,28021,28451,28451,34271,14096,14096,19916,
Arlington Baptist University,32785,32785,32785,37292,37292,37292,25483,25483,25483,
Art Academy of Cincinnati,51994,51994,51994,51994,51994,51994,41494,41494,41494,
ASA College,37208,37208,37208,41942,41942,41942,23751,23751,23751,
Asbury University,46516,46516,46516,44618,44618,44618,37282,37282,37282,
Ashland University,39088,39088,39088,34280,34280,34280,28780,28780,28780,
Assumption College for Sisters,12348,12348,12348,12908,12908,12908,7408,7408,7408,
Assumption University,64870,64870,64870,64870,64870,64870,50308,50308,50308,
Auburn University,34402,34402,55186,34402,34402,55186,19404,19404,40188,
Auburn University at Montgomery,21698,21698,31946,24815,24815,35063,14330,14330,24578,
Augsburg University,57883,57883,57883,66004,66004,66004,47574,47574,47574,
Augusta University,24266,24266,39644,25230,25230,40608,15085,15085,30463,
Augustana College,62242,62242,62242,62242,62242,62242,50460,50460,50460,
Augustana University,53390,53390,53390,58042,58042,58042,44242,44242,44242,
Aurora University,44022,44022,44022,35892,35892,35892,35892,35892,35892,
Austin College,60558,60558,60558,57030,57030,57030,47780,47780,47780,
Austin Peay State University,30865,30865,36409,30677,30677,36221,18051,18051,23595,
Ave Maria University,43921,43921,43921,43921,43921,43921,36240,36240,36240,
Averett University,52798,52798,52798,47322,47322,47322,42288,42288,42288,
Aviator College of Aeronautical Science and Technology,40913,40913,40913,50153,50153,50153,34425,34425,34425,
Avila University,34624,34624,34624,37748,37748,37748,27062,27062,27062,
Azusa Pacific University,55820,55820,55820,66408,66408,66408,47963,47963,47963,
Babson College,77248,77248,77248,77248,77248,77248,66576,66576,66576,
Bacone College,31410,31410,31410,25950,25950,25950,19060,19060,19060,
Bais Binyomin Academy,20400,20400,20400,30640,30640,30640,15850,15850,15850,
Bais HaMedrash and Mesivta of Baltimore,23500,23500,23500,,,,,,,
Bais Medrash Elyon,15400,15400,15400,29190,29190,29190,14400,14400,14400,
Bais Medrash Mayan Hatorah,18400,18400,18400,32590,32590,32590,17800,17800,17800,
Bais Medrash Toras Chesed,13700,13700,13700,,,,,,,
Baker College,25410,25410,25410,27210,27210,27210,18810,18810,18810,
Baker University,48250,48250,48250,47250,47250,47250,37710,37710,37710,
Baldwin Wallace University,57546,57546,57546,56614,56614,56614,45350,45350,45350,
Ball State University,25680,25680,43164,25680,25680,43164,16896,16896,34380,
Baptist Health Sciences University,23786,23786,23786,25651,25651,25651,18266,18266,18266,
Baptist Missionary Association Theological Seminary,20350,20350,20350,19850,19850,19850,11450,11450,11450,
Baptist University of Florida,21232,21232,21232,25670,25670,25670,16150,16150,16150,
Baptist University of the Americas,16138,16138,16138,17498,17498,17498,8868,8868,8868,
Barclay College,40190,40190,40190,37190,37190,37190,29190,29190,29190,
Bard College,80702,80702,80702,75522,75522,75522,66522,66522,66522,
Bard College at Simon's Rock,84151,84151,84151,84151,84151,84151,66951,66951,66951,
Barnard College,84409,84409,84409,84409,84409,84409,65045,65045,65045,
Barry University,50558,50558,50558,54048,54048,54048,36852,36852,36852,
Barton College,48850,48850,48850,47850,47850,47850,37750,37750,37750,
Barton County Community College,18646,18934,19771,18646,18934,19771,9316,9604,10441,
Bates College,80440,80440,80440,,,,,,,
Bay de Noc Community College,18742,22252,23902,18742,22252,23902,10718,14228,15878,
Bay Path University,52280,52280,52280,43481,43481,43481,39981,39981,39981,
Bay State College,53342,53342,53342,55441,55441,55441,39842,39842,39842,
Baylor University,70171,70171,70171,70460,70460,70460,57228,57228,57228,
Be'er Yaakov Talmudic Seminary,20400,20400,20400,36790,36790,36790,18299,18299,18299,
Beacon College,68414,68414,68414,66914,66914,66914,50654,50654,50654,
Beis Medrash Heichal Dovid,20500,20500,20500,32290,32290,32290,17500,17500,17500,
Belhaven University,39125,39125,39125,36525,36525,36525,33025,33025,33025,
Bellarmine University,63060,63060,63060,63060,63060,63060,53346,53346,53346,
Bellevue College,26275,26275,31954,24835,24835,30514,8596,8596,14275,
Bellevue University,25185,25185,25185,35568,35568,35568,20547,20547,20547,
Belmont Abbey College,34358,34358,34358,31500,31500,31500,23100,23100,23100,
Belmont University,60480,60480,60480,62020,62020,62020,46810,46810,46810,
Beloit College,69102,69102,69102,67933,67933,67933,58772,58772,58772,
Bemidji State University,23592,23592,23592,23592,23592,23592,14020,14020,14020,
Benedict College,30000,30000,30000,30000,30000,30000,23400,23400,23400,
Benedictine College,50950,50950,50950,49270,49270,49270,39270,39270,39270,
Benedictine University,49332,49332,49332,52434,52434,52434,40416,40416,40416,
Bennett College,39900,39900,39900,39900,39900,39900,30800,30800,30800,
Bennington College,82968,82968,82968,82968,82968,82968,65248,65248,65248,
Bentley University,77770,77770,77770,77770,77770,77770,64180,64180,64180,
Berea College,56068,56068,56068,56068,56068,56068,48326,48326,48326,
Berkeley School of Theology,26444,26444,26444,26444,26444,26444,4296,4296,4296,
Berklee College of Music,70620,70620,70620,70175,70175,70175,51610,51610,51610,
Berry College,56490,56490,56490,55442,55442,55442,44008,44008,44008,
Bet Medrash Gadol Ateret Torah,18300,18300,18300,31290,31290,31290,16500,16500,16500,
Beth Hamedrash Shaarei Yosher Institute,20150,20150,20150,32590,32590,32590,17800,17800,17800,
Beth Medrash Meor Yitzchok,22200,22200,22200,32190,32190,32190,17400,17400,17400,
Beth Medrash of Asbury Park,18810,18810,18810,32600,32600,32600,17810,17810,17810,
Bethany College,48340,48340,48340,47020,47020,47020,36440,36440,36440,
